"site","Lon","Lat","consensus","confidence"
151,-111.082015665417,38.9393176801667,"increase",13
152,-114.027682332083,44.6804010135,"increase",20
153,-112.902515665417,43.6051926801667,"increase",15
154,-108.54134899875,42.7347343468333,"increase",15
155,-108.50684899875,44.0908593468333,"increase",20
156,-108.49434899875,43.9504843468333,"increase",17
157,-112.288682332083,43.7732760135,"increase",15
158,-107.254515665417,43.2021510135,"increase",17
159,-108.45984899875,42.7911510135,"increase",15
160,-107.973182332083,42.4734010135,"increase",20
161,-109.806182332083,41.1645676801667,"increase",20
162,-109.01684899875,40.4819426801667,"increase",20
163,-108.99334899875,40.4726510135,"increase",20
164,-109.04034899875,40.4635260135,"increase",20
165,-108.99334899875,40.4544010135,"increase",20
166,-108.831682332083,40.4437760135,"increase",15
167,-107.764515665417,44.5964426801667,"increase",15
168,-105.28184899875,43.7075676801667,"increase",20
169,-105.27084899875,43.7075676801667,"increase",20
170,-105.28184899875,43.6891510135,"increase",20
171,-105.27084899875,43.6891510135,"increase",20
172,-105.25834899875,43.6891510135,"increase",20
173,-105.28184899875,43.6800260135,"increase",20
174,-105.27084899875,43.6800260135,"increase",20
175,-105.25834899875,43.6800260135,"increase",20
176,-105.28184899875,43.6694010135,"increase",20
177,-105.25834899875,43.6694010135,"increase",20
178,-105.235015665417,43.6694010135,"increase",20
179,-105.24734899875,43.6511510135,"increase",20
180,-105.22384899875,43.6511510135,"increase",20
181,-105.24734899875,43.6418593468333,"increase",20
182,-105.22384899875,43.6418593468333,"increase",20
183,-107.312515665417,43.2494426801667,"increase",19
184,-108.425182332083,42.5299843468333,"increase",16
185,-110.630015665417,41.5005676801667,"increase",20
186,-107.775515665417,41.1264010135,"increase",15
187,-107.694015665417,41.0714843468333,"increase",15
188,-108.10034899875,41.0608593468333,"increase",17
189,-108.04234899875,41.0608593468333,"increase",20
190,-107.730015665417,41.0608593468333,"increase",15
191,-107.694015665417,41.0608593468333,"increase",15
192,-108.07684899875,41.0517343468333,"increase",20
193,-108.04234899875,41.0517343468333,"increase",15
194,-107.741015665417,41.0517343468333,"increase",15
195,-107.694015665417,41.0517343468333,"increase",14
196,-108.08934899875,41.0424426801667,"increase",20
197,-107.741015665417,41.0333176801667,"increase",15
198,-107.730015665417,41.0333176801667,"increase",15
199,-107.717515665417,41.0333176801667,"increase",15
200,-108.08934899875,41.0241926801667,"increase",20
201,-107.730015665417,41.0241926801667,"increase",15
202,-108.07684899875,41.0057760135,"increase",19
203,-108.414182332083,40.8376926801667,"increase",20
204,-108.715515665417,40.4635260135,"increase",20
205,-108.704515665417,40.4635260135,"increase",20
206,-108.750015665417,40.4544010135,"increase",20
207,-108.739015665417,40.4544010135,"increase",20
208,-108.715515665417,40.4544010135,"increase",20
209,-108.64634899875,40.4544010135,"increase",20
210,-108.739015665417,40.4437760135,"increase",20
211,-113.36684899875,44.7170676801667,"increase",15
212,-110.49034899875,41.9129010135,"increase",19
213,-110.47934899875,41.9129010135,"increase",20
214,-110.47934899875,41.9024426801667,"increase",20
215,-110.49034899875,41.8931510135,"increase",20
216,-110.47934899875,41.8931510135,"increase",20
217,-110.45584899875,41.8931510135,"increase",20
218,-110.46684899875,41.8840260135,"increase",20
219,-110.45584899875,41.8840260135,"increase",20
220,-110.43234899875,41.8840260135,"increase",20
221,-110.49034899875,41.8656093468333,"increase",20
222,-110.43234899875,41.8564843468333,"increase",20
223,-110.802682332083,41.6411093468333,"increase",20
224,-110.47934899875,41.9313176801667,"increase",20
225,-110.47934899875,41.9221926801667,"increase",20
226,-110.46684899875,41.9129010135,"increase",20
227,-110.46684899875,41.9024426801667,"increase",20
228,-110.46684899875,41.8931510135,"increase",20
229,-110.95484899875,41.7526093468333,"increase",20
230,-107.300015665417,38.5178593468333,"increase",19
231,-107.300015665417,38.5087343468333,"increase",19
232,-107.300015665417,38.4994426801667,"increase",15
