longitude,latitude,site
-110.4786188,41.90293122,214
-110.4902188,41.89358122,215
-110.4786188,41.89358122,216
-110.4554188,41.89358122,217
-110.4670188,41.88423122,218
-110.4554188,41.88423122,219
-110.4322188,41.88423122,220
-110.4902188,41.86553122,221
-110.4322188,41.85618122,222
-110.8034188,41.64113122,223
-110.4786188,41.93098122,224
-110.4786188,41.92163122,225
-110.4670188,41.91228122,226
-110.4670188,41.90293122,227
-110.4670188,41.89358122,228
-110.9542188,41.75333122,229
-107.3002188,38.51823122,230
-107.3002188,38.50888122,231
-107.3002188,38.49953122,232
-107.2886188,38.49018122,233
-107.2190188,38.48083122,234
-107.2654188,38.47148122,235
-107.2538188,38.47148122,236
-107.2422188,38.47148122,237
-107.2886188,38.46213122,238
-107.2654188,38.46213122,239
-107.2422188,38.46213122,240
-107.2306188,38.46213122,241
-107.2190188,38.46213122,242
-107.1958188,38.46213122,243
-107.1842188,38.46213122,244
-107.3002188,38.45278122,245
-107.2886188,38.44343122,246
-107.3118188,38.50888122,247
-107.2538188,38.48083122,248
-107.3350188,38.46213122,249
-107.1842188,38.45278122,250
-107.3350188,38.44343122,251
-107.2306188,38.41538122,252
-107.0798188,38.38733122,253
-106.8826188,38.40603122,254
-117.6822188,37.64868122,255
-117.7170188,37.68608122,256
-106.8362188,34.41358122,257
-117.5546188,38.56498122,258
-114.3646188,39.32233122,259
-113.5874188,41.49153122,260
-112.7058188,40.06098122,261
-112.8914188,39.84593122,262
-112.8798188,39.84593122,263
-112.8798188,39.83658122,264
-113.0422188,41.81878122,265
-113.9586188,41.50088122,266
-112.6478188,43.52048122,267
-106.8130188,42.85663122,268
-108.3906188,39.35973122,269
-108.8082188,43.97863122,270
-108.1238188,42.66963122,271
-108.8894188,40.63133122,272
-108.8778188,40.63133122,273
-108.8894188,40.62198122,274
-108.9706188,40.61263122,275
-108.9358188,40.56588122,276
-107.7874188,39.59348122,277
-112.7290188,45.79253122,278
-108.8778188,40.61263122,279
-108.9010188,40.59393122,280
-108.9126188,40.57523122,281
-109.0402188,40.51913122,282
-109.0518188,40.50978122,283
-109.0634188,40.50043122,284
-109.0750188,40.49108122,285
-108.9706188,40.44433122,286
-113.3322188,45.76448122,287
-107.5206188,44.33393122,288
-114.0050188,44.19368122,289
-107.4046188,38.43408122,290
-106.8478188,40.28538122,291
-107.2654188,38.44343122,292
-106.4766188,38.50888122,293
-106.5346188,38.83613122,294
-106.7202188,38.82678122,295
-111.4414188,36.82588122,296
-109.6550188,37.41493122,297
-109.7710188,38.15358122,298
-109.7478188,38.15358122,299
-109.0402188,37.32143122,300
-116.5918188,38.47148122,301
-109.0866188,37.38688122,302
-112.6710188,40.07033122,303
-112.6826188,40.06098122,304
-112.7058188,40.05163122,305
-117.6126188,39.15403122,306
-113.9818188,38.20968122,307
-112.7870188,38.20033122,308
-112.4622188,43.44568122,309
-113.6570188,41.62243122,310
-106.3490188,42.55743122,311
-114.9562188,39.43453122,312
-106.8130188,36.43318122,313
-109.8522188,39.50933122,314
-107.6598188,38.61173122,315
-107.6946188,38.58368122,316
-113.9238188,43.87578122,317
-107.6714188,38.60238122,318
-112.4274188,45.66163122,319
-107.5438188,38.49018122,320
-106.0590188,40.23863122,321
-113.0422188,44.64248122,322
-106.5810188,38.21903122,323
-118.5174188,39.53738122,324
-114.5386188,37.59258122,325
-117.7750188,39.49063122,326
-110.1190188,35.75063122,327
-112.7290188,40.48173122,328
-112.3926188,39.77113122,329
-112.1142188,39.48128122,330
-111.9286188,39.30363122,331
-109.9914188,37.62063122,332
-114.8750188,41.17363122,333
-112.6246188,40.26668122,334
-112.6246188,40.24798122,335
-112.3230188,40.13578122,336
-112.3346188,40.12643122,337
-112.3694188,39.77113122,338
-112.0678188,39.27558122,339
-116.6034188,39.07923122,340
-113.1350188,42.86598122,341
-114.8634188,41.17363122,342
-114.8402188,41.16428122,343
-114.8402188,41.15493122,344
-112.3462188,40.12643122,345
-116.4178188,39.01378122,346
-112.0562188,38.98573122,347
-112.5782188,41.68788122,348
-112.6130188,41.62243122,349
-115.1534188,39.39713122,350
-113.0422188,42.14603122,351
-112.5318188,41.86553122,352
-106.2910188,42.47328122,353
-114.1674188,39.68698122,354
